strain,id,flavors,positive,medical,Type,Rating,Flavor
Blackberry Haze,294,"Berry, Sweet, Lemon","Relaxed, Hungry, Happy, Uplifted, Tingly","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.5,"Berry,Sweet,Spicy/Herbal"
Blackberry Kush,295,"Berry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Berry,Sweet,Earthy"
Blackberry Lime Haze,296,"Berry, Lime, Sweet","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.7,"Berry,Sweet,Lime"
Blackberry Pie,297,"Sweet, Blueberry, Berry","Relaxed, Hungry, Euphoric, Happy, Creative","Pain, Cramps, Nausea, Inflammation",hybrid,4.7,"Sweet,Blueberry,Berry"
Blackberry Rhino,298,"Berry, Sweet, Spicy/Herbal","Relaxed, Hungry, Happy, Creative","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.3,"Berry,Sweet,Spicy/Herbal"
Blackberry Trainwreck,299,"Berry, Sweet, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Berry,Sweet,Pungent"
Blackwater,301,"Earthy, Grape, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.6,"Earthy,Berry,Grape"
Blaze,302,"Blueberry, Berry, Sweet","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Inflammation",sativa,4.3,"Blueberry,Sweet,Berry"
Blissful Wizard,303,"Sweet, Vanilla, Earthy","Relaxed, Euphoric, Happy, Creative, Talkative","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.8,"Earthy,Vanilla,Pungent"
Blockhead,305,"Lime, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches",hybrid,4.2,"Pungent,Woody,Flowery"
Bloodhound,307,"Earthy, Chestnut, Sage","Relaxed, Hungry, Happy, Talkative, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.2,"Earthy,Sage,Spicy/Herbal"
Blowfish,308,"Pine, Earthy, Sage","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Nausea, Headache, Muscle Spasms",hybrid,4.2,"Spicy/Herbal,Pepper,Sage"
Blucifer,309,"Blueberry, Berry, Minty","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Pain, Lack of Appetite, Nausea, Headaches",sativa,4.3,"Blueberry,Spicy/Herbal,Berry"
Blue Afghani,310,"Blueberry, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Lack of Appetite, Nausea, Fatigue, Headaches",indica,4.4,"Blueberry,Woody,Pungent"
Blue Alien,311,"Blueberry, Earthy, Pine","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Fatigue, Inflammation",indica,4.5,"Blueberry,Berry,Citrus"
Blue Bastard,312,"Berry, Pine","Euphoric, Happy, Creative, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,3.8,"Berry,Pine"
Blue Bayou,313,Sweet,"Hungry, Happy, Creative, Uplifted, Giggly","Depression, Stress, Nausea, Headache",sativa,2.8,Sweet
Blue Blood,314,"Blueberry, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Pain, Stress, Inflammation, Muscle Spasms",indica,4.2,"Sweet,Blueberry,Earthy"
Blue Boy,315,"Earthy, Sweet, Pungent","Happy, Creative, Talkative, Uplifted, Giggly","Depression, Pain, Stress, Headache, Fatigue, Muscle Spasms",hybrid,4.1,"Earthy,Pungent,Flowery"
Blue Buddha,316,"Blueberry, Citrus, Pungent","Relaxed, Happy, Creative","Depression, Insomnia, Lack of Appetite, Headaches, Seizures",indica,4.9,"Blueberry,Citrus,Cheese"
Blue Cheese,318,"Blue Cheese, Cheese, Blueberry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Blue,Cheese,Cheese,Blueberry"
Blue Cinex,319,"Blueberry, Earthy","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.7,"Blueberry,Earthy"
Blue Cookies,320,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Berry,Blueberry,Sweet"
Blue Crack,321,"Berry, Sweet, Blueberry","Relaxed, Happy, Energetic, Talkative, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.2,"Blueberry,Sweet,Berry"
Blue Diamond,322,"Sweet, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headache, Headaches, Eye Pressure",indica,4.4,"Sweet,Tree,Fruit,Pineapple"
Blue Diesel,323,"Blueberry, Diesel, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Inflammation",hybrid,4.4,"Blueberry,Diesel,Berry"
Blue Dot,324,"Earthy, Pungent, Berry","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.7,"Earthy,Pungent,Berry"
Blue Dragon,325,"Blueberry, Berry, Diesel","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.4,"Blueberry,Berry,Sweet"
Blue Dream,326,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.4,"Blueberry,Berry,Sweet"
Blue Dynamite,327,"Earthy, Sweet, Blueberry","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Berry,Spicy/Herbal,Pine"
Blue Frost,328,"Sweet, Cheese, Berry","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Blueberry,Cheese,Menthol"
Blue Galaxy,329,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Headaches",hybrid,4.7,"Berry,Earthy,Blueberry"
Blue God,330,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Tingly, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea, Headache",indica,4.7,"Berry,Sweet,Blueberry"
Blue Goo,331,"Berry, Pine, Flowery","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",hybrid,4.1,"Berry,Skunk,Pine"
Blue Hash,332,"Blueberry, Sweet, Earthy","Relaxed, Hungry, Happy, Tingly, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.4,"Sweet,Blueberry,Earthy"
Blue Hawaiian,333,"Sweet, Blueberry, Tropical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Nausea, Headache, Fatigue, Headaches",hybrid,4.3,"Citrus,Earthy,Sweet"
Blue Haze,334,"Blueberry, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.3,"Blueberry,Sweet,Flowery"
Blue Heron,335,"Woody, Pine, Spicy/Herbal","Relaxed, Happy, Talkative, Uplifted, Giggly","Insomnia, Pain, Stress, Cramps, Headaches",hybrid,4.7,"Woody,Spicy/Herbal,Pine"
Blue Ivy,336,"Earthy, Pepper, Blueberry","Relaxed, Hungry, Focused","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Earthy,Pepper,Blueberry"
Blue Jay Way,337,"Sweet, Citrus, Blueberry","Relaxed, Euphoric, Uplifted, Sleepy, Focused","Insomnia, Pain, Stress, Cramps, Headaches",hybrid,4.5,"Sweet,Citrus,Blueberry"
Blue Kiss,338,"Berry, Blueberry, Flowery","Relaxed, Euphoric, Creative, Talkative, Focused","Stress, Lack of Appetite, Nausea, Headaches",hybrid,4.7,"Sweet,Berry,Blueberry"
Blue Knight,339,"Sweet, Blueberry, Berry","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Headaches",indica,4.7,"Berry,Blueberry,Sweet"
Blue Kripple,340,"Earthy, Grape","Relaxed, Hungry, Euphoric, Sleepy","Pain, Muscle Spasms",indica,3.4,"Earthy,Grape"
Blue Kush,341,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.5,"Blueberry,Pine,Lemon"
Blue Lights,342,"Blueberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.5,"Blueberry,Earthy,Berry"
Blue Magic,343,"Blueberry, Tropical, Sweet","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Fatigue, Spasticity, Muscle Spasms",sativa,4.6,"Citrus,Lemon,Tropical"
Blue Magoo,344,"Sweet, Earthy, Blueberry","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Earthy,Sweet,Pungent"
Blue Monster,345,"Berry, Blueberry, Diesel","Relaxed, Hungry, Happy, Talkative","Depression, Insomnia, Pain, Stress, Headache",indica,4.7,"Berry,Sweet,Diesel"
Blue Moon Rocks,346,"Flowery, Lemon, Blueberry","Relaxed, Happy, Giggly","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.6,"Berry,Strawberry,Lavender"
Blue Moonshine,347,"Earthy, Berry, Pine","Relaxed, Euphoric, Happy","Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache",indica,4.2,"Earthy,Berry,Woody"
Blue Mountain Fire,348,"Earthy, Flowery, Pepper","Relaxed, Euphoric, Happy, Creative, Giggly","Depression, Stress",sativa,4.0,"Flowery,Earthy,Tar"
Blue Mystic,349,"Earthy, Blueberry, Sweet","Relaxed, Happy, Energetic, Uplifted, Sleepy","Depression, Pain, Nausea, Fatigue, Headaches",indica,4.2,"Blueberry,Earthy,Sweet"
Blue Nightmare,350,"Berry, Earthy, Sage","Relaxed, Euphoric, Creative, Talkative, Uplifted","Depression, Insomnia, Stress, Nausea, Headaches",hybrid,4.7,"Berry,Earthy,Blueberry"
Blue Ox,353,"Berry, Blueberry, Coffee","Relaxed, Euphoric, Sleepy, Giggly","Depression, Pain, Lack of Appetite, Fatigue",indica,4.5,"Berry,Flowery,Blueberry"
Blue Power,355,"Berry, Earthy, Chemical","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Stress, Lack of Appetite, Nausea, Headache",indica,4.7,"Berry,Earthy,Sweet"
Blue Rhino,356,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",hybrid,4.3,"Blueberry,Sweet,Berry"
Blue Satellite,357,"Sweet, Blueberry, Plum","Euphoric, Happy, Creative, Energetic, Focused","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,3.9,"Sweet,Blueberry,Citrus"
Blue Sky,358,"Earthy, Sweet, Blueberry","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.6,"Earthy,Sweet,Pine"
Blue Steel,359,"Blueberry, Pungent","Relaxed, Euphoric, Creative, Uplifted","Pain, Stress, Lack of Appetite",indica,4.3,"Blueberry,Pungent,Earthy"
Blue Thai,360,Blueberry,"Relaxed, Happy, Creative, Energetic, Talkative","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,3.7,"Earthy,Pungent,Woody"
Blue Treat,363,"Blueberry, Earthy, Apricot","Relaxed, Hungry, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Seizures",hybrid,4.9,"Earthy,Berry,Blueberry"
Blue Velvet,364,"Sweet, Berry, Blueberry","Relaxed, Hungry, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Headache, Fatigue, Headaches",hybrid,4.3,"Sweet,Earthy,Diesel"
Blue Venom,365,"Blueberry, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Pine,Blueberry,Berry"
Blue Widow,366,"Earthy, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Fatigue",hybrid,4.2,"Sweet,Berry,Earthy"
Blue Wonder,367,Blueberry,"Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Spasticity",hybrid,5.0,Blueberry
Blue Wreck,368,"Blueberry, Earthy, Honey","Creative, Energetic, Talkative","Depression, Pain, Stress, Headaches, Spasticity",hybrid,4.7,"Blueberry,Earthy,Honey"
Blue Zombie,369,"Pungent, Berry, Coffee","Relaxed, Hungry, Euphoric, Talkative, Aroused","Insomnia, Pain, Cramps, Nausea, Muscle Spasms",indica,4.7,"Pungent,Earthy,Pepper"
Blueberry,370,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.3,"Blueberry,Berry,Sweet"
Blueberry Blast,372,"Blueberry, Pungent, Sweet","Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Fatigue",sativa,4.4,"Blueberry,Berry,Sweet"
Blueberry Cheesecake,373,"Blueberry, Cheese, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.3,"Blueberry,Sweet,Cheese"
Blueberry Diesel,374,"Blueberry, Diesel, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Seizures",hybrid,4.2,"Blueberry,Diesel,Sweet"
Blueberry Dream,375,"Blueberry, Berry, Earthy","Relaxed, Happy, Creative, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.6,"Sweet,Flowery,Pine"
Blueberry Essence,376,"Blueberry, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted","Insomnia, Pain, Stress, Headaches, Muscle Spasms",hybrid,4.5,"Blueberry,Sweet,Mango"
Blueberry Haze,377,"Blueberry, Berry, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Inflammation",hybrid,4.2,"Blueberry,Berry,Sweet"
Blueberry Headband,378,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.3,"Blueberry,Berry,Earthy"
Blueberry Jack,379,"Blueberry, Pine, Berry","Happy, Talkative, Uplifted, Tingly, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.3,"Blueberry,Pine,Berry"
Blueberry Kush,380,"Blueberry, Berry, Sweet","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.3,"Blueberry,Berry,Sweet"
Blueberry Lambsbread,381,"Blueberry, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Inflammation",hybrid,4.8,"Blueberry,Sweet,Earthy"
Blueberry Muffins,382,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.7,"Blueberry,Earthy,Berry"
Blueberry Pancakes,384,"Blueberry, Sweet, Earthy","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.5,"Blueberry,Berry,Sweet"
Blueberry Pie,385,"Blueberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.4,"Blueberry,Earthy,Berry"
Blueberry Silvertip,386,"Berry, Blueberry, Flowery","Relaxed, Happy, Energetic","Pain, Stress, Fatigue, Headaches, Inflammation",hybrid,4.6,"Blueberry,Berry,Flowery"
Blueberry Skunk,387,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Headaches, Muscle Spasms",indica,4.3,"Blueberry,Skunk,Berry"
Blueberry Waltz,388,"Blueberry, Sweet, Tropical","Euphoric, Happy, Talkative, Uplifted, Giggly","Depression, Stress",indica,4.8,"Sweet,Blueberry,Tropical"
Blueberry Yum Yum,389,"Blueberry, Sweet, Berry","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Headaches",hybrid,4.6,"Blueberry,Sweet,Berry"
Blues,390,"Berry, Pungent, Blue Cheese","Hungry, Happy, Talkative, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.0,"Sweet,Earthy,Berry"
Bluniverse,392,"Blueberry, Berry, Earthy","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.7,"Blueberry,Berry,Vanilla"
Blurple,393,"Pepper, Tobacco, Sweet","Euphoric, Happy, Energetic, Focused, Giggly","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Grape,Sweet,Flowery"
Blush,394,"Earthy, Honey, Pepper","Hungry, Happy, Creative","Fatigue, Eye Pressure, Muscle Spasms",hybrid,5.0,"Pepper,Honey,Earthy"
Bob Saget,395,"Chemical, Sage, Diesel","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Fatigue, Inflammation, Muscle Spasms",sativa,4.8,"Sage,Chemical,Diesel"
Bogart,396,"Citrus, Sweet, Tropical","Happy, Talkative, Uplifted, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Fatigue",hybrid,4.0,"Sweet,Citrus,Tropical"
Boggle Gum,397,"Sweet, Earthy, Grape","Relaxed, Hungry, Happy, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Headache, Inflammation",hybrid,4.0,"Sweet,Earthy,Grape"
Booger,398,"Sweet, Earthy, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.7,"Earthy,Skunk,Diesel"
Bootlegger,400,"Earthy, Pungent, Skunk","Hungry, Euphoric, Sleepy, Giggly","Stress, Cramps, Headaches",hybrid,0.0,"Sweet,Earthy,Pungent"
Bordello,401,"Sweet, Citrus, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.5,"Sweet,Citrus,Pine"
Boss Hogg,402,"Earthy, Woody, Lemon","Relaxed, Hungry, Happy, Creative, Uplifted","Insomnia, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.5,"Earthy,Sweet,Pungent"
Brains Damage,404,"Pine, Diesel, Menthol","Relaxed, Hungry, Happy, Sleepy","Depression, Insomnia, Stress, Lack of Appetite, Muscle Spasms",indica,4.4,"Earthy,Woody,Sweet"
Brainstorm Haze,405,"Earthy, Spicy/Herbal, Pepper","Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",sativa,3.9,"Sweet,Minty,Earthy"
Brainwreck,406,"Earthy, Citrus, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Eye Pressure",hybrid,4.7,"Citrus,Earthy,Sweet"
Brand X,407,"Earthy, Pine, Tar","Relaxed, Hungry, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Nausea",indica,5.0,"Earthy,Pine,Tar"
Brian Berry Cough,410,"Berry, Sweet, Sage","Relaxed, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Berry,Tropical,Sweet"
Brooklyn Mango,413,"Mango, Tropical, Citrus","Euphoric, Happy, Uplifted, Giggly, Aroused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.9,"Mango,Tropical,Citrus"
Bruce Banner,414,"Earthy, Sweet, Diesel","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.6,"Earthy,Diesel,Pungent"
Bubba Kush,418,"Earthy, Sweet, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Earthy,Sweet,Woody"
Bubba Tom Hayes,420,"Earthy, Pungent, Ammonia","Hungry, Euphoric, Happy, Energetic, Talkative","Depression, Stress, Fatigue",hybrid,4.9,"Earthy,Pungent,Ammonia"
Bubble Cheese,424,"Cheese, Earthy, Tropical","Relaxed, Euphoric, Happy, Creative, Sleepy","Headache, Headaches, Eye Pressure",indica,3.8,"Blue,Cheese,Cheese,Pungent"
Bubble Gum,425,"Sweet, Flowery, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.1,"Sweet,Flowery,Berry"
Bubbleberry,426,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Spasticity",hybrid,4.4,"Sweet,Berry,Blueberry"
Bubblegum Kush,427,"Sweet, Earthy, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.3,"Sweet,Earthy,Flowery"
Bubblegun,428,"Pepper, Blueberry, Mint","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Nausea, Headache, Headaches",hybrid,3.8,"Pepper,Mint,Blueberry"
Bubblicious,429,"Sweet, Earthy, Rose","Relaxed, Hungry, Euphoric, Happy","Depression, Insomnia, Stress, Headaches, Muscle Spasms",hybrid,4.3,"Sweet,Blueberry,Berry"
Buckeye Purple,430,"Diesel, Grape, Berry","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Pain, Eye Pressure, Inflammation, Muscle Spasms",indica,4.3,"Tropical,Diesel,Grape"
Buddha Haze,431,"Spicy/Herbal, Earthy, Woody","Euphoric, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Sweet,Earthy,Nutty"
Buddha Tahoe,432,"Sweet, Pine, Lemon","Relaxed, Euphoric, Happy, Uplifted, Tingly","Insomnia, Pain, Stress, Headaches, Eye Pressure",indica,4.5,"Earthy,Pungent,Sweet"
Buffalo Bill,435,"Pine, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Pain, Stress, Cramps, Headache, Fatigue",sativa,4.2,"Earthy,Woody,Pine"
Burkle,437,"Earthy, Berry, Sweet","Relaxed, Happy, Uplifted, Tingly, Sleepy","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",indica,4.9,"Berry,Flowery,Pungent"
Burmese Kush,438,"Earthy, Sweet, Pine","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea, Headache",hybrid,4.2,"Earthy,Pine,Pungent"
Butterscotch,440,"Nutty, Tar, Woody","Relaxed, Euphoric, Creative, Focused","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.3,"Pine,Citrus,Nutty"
C13 Haze,441,"Earthy, Pungent, Chestnut","Euphoric, Happy, Creative, Energetic, Giggly","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms",sativa,4.4,"Earthy,Pungent,Lemon"
C4,444,"Earthy, Citrus, Lemon","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Nausea, Headache",hybrid,4.5,"Earthy,Flowery,Lime"
Cabbage Patch,452,"Grapefruit, Menthol, Nutty","Relaxed, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Fatigue, Muscle Spasms",hybrid,4.4,"Menthol,Grapefruit,Nutty"
Cactus,453,"Citrus, Earthy, Pungent","Relaxed, Euphoric, Happy, Talkative, Uplifted","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.6,"Citrus,Earthy,Pungent"
Cactus Cooler,454,"Citrus, Sweet, Chemical","Euphoric, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Citrus,Earthy,Sweet"
Cadillac Purple,455,"Grape, Sweet, Citrus","Relaxed, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.2,"Berry,Earthy,Grape"
Cali Gold,456,"Earthy, Skunk, Woody","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.5,"Earthy,Pine,Skunk"
