strain,id,flavors,positive,medical,Type,Rating,Flavor
Moby Dick,1374,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.3,"Sweet,Citrus,Earthy"
Money Maker,1377,"Earthy, Pungent, Berry","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.6,"Earthy,Berry,Skunk"
Monkey Paw,1378,"Earthy, Spicy/Herbal, Skunk","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headaches",hybrid,4.5,"Grape,Berry,Spicy/Herbal"
Monolith,1379,"Pungent, Earthy, Pine","Relaxed, Euphoric, Happy, Sleepy, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,5.0,"Pungent,Earthy,Pine"
Monster Cookies,1380,"Earthy, Sweet, Grape","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.6,"Earthy,Grape,Pine"
Montana Silvertip,1382,"Earthy, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Spicy/Herbal,Sweet"
Moon Cookies,1383,"Earthy, Blueberry, Citrus","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Insomnia, Eye Pressure, Inflammation, Muscle Spasms",hybrid,4.8,"Spicy/Herbal,Minty,Flowery"
Moonshine Haze,1385,"Earthy, Sweet, Citrus","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Stress, Lack of Appetite, Headache, Fatigue, Muscle Spasms",sativa,4.3,"Earthy,Citrus,Pine"
Moonwalker Kush,1386,"Earthy, Pine, Minty","Relaxed, Sleepy, Focused, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.9,"Earthy,Pine,Minty"
Morning Star,1388,"Orange, Berry, Blueberry","Euphoric, Uplifted","Depression, Insomnia, Stress, Nausea, Headache, Fatigue",hybrid,4.3,"Orange,Berry,Blueberry"
Mossad,1389,"Earthy, Lemon, Sweet","Euphoric, Focused",Headache,indica,3.8,"Sweet,Lemon,Earthy"
Motavation,1391,"Pungent, Flowery, Sweet","Relaxed, Creative, Sleepy, Giggly","Pain, Fatigue, Headaches, Spasticity, Muscle Spasms",indica,3.9,"Pungent,Sweet,Flowery"
Mother Tongue,1392,"Berry, Tropical, Sweet","Euphoric, Happy, Creative, Energetic, Focused","Insomnia, Pain, Stress, Headaches, Inflammation",sativa,4.4,"Earthy,Lemon,Sweet"
